OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051MQ,2024-04-20T18:42:48.386880,14.59791061,0.0027352,86.3205,225.4917,106.6579,45.1666,0,U,34870,999,80211,0.0038732,0.00018646,0
IRIDIUM 33 DEB,1997-051MY,2024-04-22T01:52:24.078144,14.56401637,0.003422,86.3345,233.3957,103.9022,23.4175,0,U,34896,999,79566,0.0034771,0.00015592,0
IRIDIUM 33 DEB,1997-051NA,2024-04-20T14:16:53.119200,15.2880199,0.0004789,86.3181,176.9164,153.5348,206.6146,0,U,34898,999,80317,0.0093772,0.00271657,0
IRIDIUM 33 DEB,1997-051NF,2024-04-22T04:51:53.153856,14.26764796,0.0145207,86.1449,279.3564,99.9056,26.5261,0,U,34926,999,77881,0.011557,0.00031415,0
IRIDIUM 33 DEB,1997-051NH,2024-04-21T08:39:00.631008,14.7475389,0.0024513,86.3907,251.8678,294.421,65.445,0,U,34928,999,57264,0.0042681,0.00028788,0
IRIDIUM 33 DEB,1997-051NR,2024-04-21T13:02:42.573120,14.38247141,0.0024055,86.3658,312.083,47.5269,341.6088,0,U,34985,999,78536,0.0018561,5.679e-05,0
IRIDIUM 33 DEB,1997-051NS,2024-04-20T21:02:13.476768,15.44492766,0.0022544,86.3484,271.5599,303.6976,56.213,0,U,34986,999,79237,0.026579,0.01378152,0
IRIDIUM 33 DEB,1997-051NV,2024-04-21T06:57:37.624320,15.48202736,0.0022527,86.3537,229.75,293.5556,66.3336,0,U,35049,999,62977,0.022818,0.01338564,0
IRIDIUM 33 DEB,1997-051NX,2024-04-21T10:00:57.343968,14.42294829,0.0006625,86.3212,269.3597,279.1443,80.9007,0,U,35051,999,78325,0.0020152,6.671e-05,0
IRIDIUM 33 DEB,1997-051NY,2024-04-21T18:16:42.052512,14.36963313,0.0009759,86.3259,277.2813,245.3788,114.6393,0,U,35052,999,78654,0.00080728,2.41e-05,0
IRIDIUM 33 DEB,1997-051PE,2024-04-12T04:10:02.255808,14.45495453,0.009701,86.4306,63.1175,257.0449,101.9906,0,U,35079,999,77510,0.0052451,0.00019646,0
IRIDIUM 33 DEB,1997-051PF,2024-04-21T13:34:26.205312,14.35098333,0.0144285,86.2296,324.9578,45.1629,316.1184,0,U,35080,999,77381,0.011808,0.00038085,0
IRIDIUM 33 DEB,1997-051PJ,2024-04-20T00:58:01.177824,15.13765749,0.0017105,86.2921,215.4594,220.6308,265.1416,0,U,35294,999,79124,0.025395,0.00490396,0
IRIDIUM 33 DEB,1997-051PL,2024-04-20T01:27:38.345472,14.74751871,0.0009162,86.3009,223.79,225.5641,134.4828,0,U,35296,999,62346,0.019058,0.00129855,0
IRIDIUM 33 DEB,1997-051PM,2024-04-19T07:43:02.365824,14.40102086,0.0015869,86.3873,318.7734,344.0225,16.0471,0,U,35297,999,61739,0.0015165,4.81e-05,0
IRIDIUM 33 DEB,1997-051PP,2024-04-21T22:44:16.554048,14.33540642,0.0057414,86.2859,292.6826,270.5932,243.215,0,U,35299,999,77828,0.0040072,0.00011315,0
IRIDIUM 33 DEB,1997-051PZ,2024-03-25T01:21:01.076544,14.65239641,0.0050105,86.3917,11.8771,52.3835,308.1909,0,U,35479,999,49245,0.069824,0.00401958,0
IRIDIUM 33 DEB,1997-051QA,2024-04-21T10:41:21.471360,14.44301553,0.0012513,86.3531,283.972,308.2678,51.7397,0,U,35480,999,78348,0.0018719,6.462e-05,0
IRIDIUM 33 DEB,1997-051QE,2024-04-15T04:31:27.209568,14.62905909,0.0041466,86.3713,267.6526,100.7967,259.7916,0,U,35484,999,53046,0.0037649,0.0001955,0
IRIDIUM 33 DEB,1997-051QJ,2024-04-20T17:35:04.263936,14.65782536,0.0033029,86.3387,213.9238,332.2962,27.649,0,U,35488,999,79416,0.0030319,0.00016706,0
IRIDIUM 33 DEB,1997-051QN,2024-04-20T19:44:08.012544,14.61101475,0.0017145,86.3585,255.3172,112.5052,247.7976,0,U,35616,999,78957,0.0044556,0.00022012,0
IRIDIUM 33 DEB,1997-051QQ,2024-04-22T03:05:58.760448,14.47707749,0.0030359,86.3388,254.6544,219.7201,140.178,0,U,35618,999,78522,0.0023047,8.576e-05,0
